id01115,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
id03188,1,2,2,1,2,1,1,1,2,2,1,1,0,0,0,0
id02902,2,2,1,1,2,1,1,1,2,2,1,1,0,0,0,0
id04640,1,3,3,1,1,1,1,1,1,1,1,1,1,1,0,1
id03380,1,2,4,1,3,1,1,1,2,2,1,1,0,0,0,1
id02286,3,4,3,2,3,1,1,2,1,2,1,1,0,2,0,1
id02176,1,1,1,1,3,1,1,1,1,1,1,1,0,0,0,1
id01864,3,1,5,3,3,1,1,2,1,3,1,1,0,0,1,1
id01603,1,3,1,1,4,1,1,1,2,2,1,1,0,0,0,0
id02296,2,4,4,1,3,1,1,1,2,2,1,1,0,0,0,0
id00553,3,1,5,3,3,1,1,2,1,1,1,1,0,0,0,0
id02768,1,4,4,1,3,1,1,1,2,2,1,1,0,0,0,1
id04328,1,2,4,1,4,2,1,1,1,2,1,1,0,0,0,0
id04946,1,4,4,1,4,1,1,1,2,2,1,1,0,0,0,0
id01213,2,2,5,4,3,1,1,2,1,3,1,1,0,0,1,1
id04779,1,5,4,1,3,1,1,1,2,2,1,1,0,0,1,1
id01689,2,4,6,1,3,1,1,1,2,2,1,1,0,3,0,1
id04252,3,2,7,3,1,1,1,3,1,3,1,1,1,1,0,1
id02999,1,1,8,1,3,2,1,1,1,2,1,1,0,0,0,1
id02570,1,4,8,1,4,1,1,1,1,2,1,1,0,0,0,0
id04525,1,3,4,1,2,1,1,1,1,1,1,1,0,0,0,0
id04383,1,2,4,1,3,1,1,1,1,3,1,1,0,0,0,1
id02493,1,1,4,1,4,1,1,1,2,2,1,1,0,0,0,0
id04311,2,1,4,1,3,1,1,1,1,3,1,1,0,0,0,1
id04855,2,2,8,2,3,1,1,2,1,3,1,1,0,0,0,1
id03059,3,4,4,3,3,1,1,2,1,3,1,1,0,0,0,1
id03041,2,3,1,1,4,1,1,1,2,2,1,1,0,0,0,0
id03991,3,1,1,2,1,1,1,2,1,2,1,1,0,0,1,1
id03661,2,5,1,1,3,1,1,1,1,2,1,1,0,0,1,1
id00257,1,2,4,1,3,1,1,1,1,1,1,1,0,0,0,1
id02047,2,4,4,4,4,1,2,2,1,2,1,1,0,0,0,0
id01926,2,5,4,4,3,1,2,4,1,3,2,1,0,0,1,1
id03251,2,2,0,2,3,1,1,2,1,1,2,1,0,0,0,1
id04051,1,4,1,1,2,1,1,1,1,1,3,1,0,0,0,0
id00879,2,2,8,4,1,1,1,2,1,3,3,1,0,0,1,1
id00645,3,1,7,1,3,2,1,1,1,1,3,1,0,3,0,1
id04380,1,1,9,1,1,1,1,1,1,3,3,1,1,1,0,0
id03354,3,4,10,1,3,2,3,1,1,2,4,1,0,0,1,1
id04619,2,3,8,4,3,1,1,4,1,3,4,1,0,0,0,1
id01185,1,1,4,1,1,1,1,1,1,1,4,1,0,0,0,1
id00631,2,2,0,2,3,2,1,2,1,1,4,1,0,0,1,1
id03282,1,4,4,1,3,1,1,1,1,2,4,1,0,0,0,1
id00420,1,2,8,1,3,1,1,1,1,3,4,1,0,0,0,1
id01923,2,2,1,1,4,1,1,1,1,2,4,1,0,0,0,0
id04852,3,3,4,4,3,1,1,4,1,3,4,1,0,0,0,1
id04771,2,5,4,4,3,1,1,2,2,2,4,1,0,0,0,1
id01225,3,2,7,2,3,1,1,2,1,1,4,1,2,1,0,1
id02571,2,3,4,4,3,1,1,4,1,3,4,1,0,0,0,1
id04112,2,4,3,4,3,1,2,2,1,1,4,1,3,1,0,1
id04162,2,3,1,4,5,1,1,4,1,3,1,1,0,0,0,1
id03834,1,3,4,1,3,1,1,1,1,3,1,1,0,0,0,1
id03775,2,4,4,1,4,1,1,1,1,2,1,1,0,0,0,0
id00369,1,3,1,1,3,1,1,1,1,3,1,1,0,0,0,1
id04902,1,2,11,1,3,1,1,1,1,3,1,1,0,0,0,1
id04121,1,2,3,1,3,1,1,1,1,1,5,1,1,4,0,1
id04950,3,5,8,1,2,1,1,1,1,2,5,1,0,0,0,0
id04129,1,2,0,1,1,2,1,1,1,3,2,1,0,0,0,0
id04280,1,1,12,1,3,1,1,1,1,3,2,1,0,0,0,0
id03916,2,1,4,4,4,1,2,4,1,3,2,1,0,0,0,0
id01076,1,3,1,1,3,1,1,1,1,1,3,1,0,0,0,1
id02433,1,2,8,1,1,1,1,1,1,2,3,1,0,0,0,1
id03174,3,1,7,3,3,1,1,2,1,3,3,1,1,1,0,1
id01256,1,3,3,1,6,1,1,1,1,1,3,1,1,1,0,1
id02686,3,3,4,3,3,1,1,3,1,3,3,1,0,0,0,1
id02480,1,4,13,1,7,1,1,1,1,3,3,1,1,4,0,1
id00464,1,3,3,1,3,1,4,1,1,3,3,1,1,1,0,1
id01316,3,2,4,3,3,1,2,3,1,3,3,1,0,0,0,1
id00994,1,2,0,1,0,1,1,1,1,2,2,1,0,0,0,0
id01400,2,4,3,2,5,1,3,2,1,2,2,1,3,1,0,1
id04071,2,2,0,4,0,2,2,2,1,1,3,1,0,0,1,1
id04100,1,3,4,1,3,1,1,1,1,2,1,1,0,0,0,1
id04560,3,4,3,3,3,2,2,3,1,3,3,1,0,0,0,0
id03976,1,4,3,1,3,1,1,1,1,2,4,1,1,1,0,1
id00222,3,2,1,1,3,1,1,1,1,1,4,1,0,0,1,1
id03598,2,2,1,1,3,1,1,1,1,1,4,1,0,0,0,1
id00071,1,2,4,1,6,1,1,1,1,1,4,1,0,0,0,1
id00968,1,4,4,1,3,1,1,1,1,3,4,1,0,0,0,1
id00760,2,4,4,1,1,1,1,1,1,1,4,1,0,0,1,1
id00399,1,4,4,1,4,1,1,1,1,2,4,1,0,0,0,0
id02150,1,2,1,1,3,1,1,1,1,3,4,1,0,0,0,1
id02872,2,4,8,4,4,1,1,2,1,3,4,1,0,0,0,0
id03116,2,2,3,2,3,1,2,2,1,1,4,1,3,4,0,1
id01885,2,2,5,4,3,1,2,2,1,1,4,1,0,0,0,0
id04773,2,2,1,2,3,1,2,2,1,1,4,1,0,0,0,1
id04919,2,4,5,4,3,1,2,2,1,1,4,1,0,0,1,1
id00408,1,1,0,1,3,1,1,2,1,1,1,1,0,0,0,0
id02405,1,3,7,1,4,1,1,1,2,2,1,1,0,2,0,0
id03600,3,1,4,2,4,1,1,3,1,3,1,1,0,0,0,1
id01414,1,3,4,1,4,1,1,1,1,1,1,1,0,0,0,0
id02556,2,2,1,1,4,1,1,1,1,2,1,1,0,0,0,0
id02104,1,4,4,1,4,1,1,1,2,2,1,1,0,0,0,0
id01147,3,4,4,2,3,1,1,2,1,1,1,1,0,0,0,1
id02881,2,5,4,1,3,1,1,1,1,2,1,1,0,0,0,1
id02140,1,5,2,1,3,1,1,1,1,2,1,1,0,0,0,1
id03827,1,1,3,1,4,1,1,1,1,1,1,1,1,1,0,0
id03850,2,3,0,1,4,1,1,1,2,1,1,1,0,0,0,0
id02274,2,1,4,4,3,1,2,2,1,1,1,1,0,0,0,1
id04235,2,1,2,4,3,1,2,2,1,3,1,1,0,0,0,1
